stock_item_name,stock_group,stock_category,base_unit,alternate_unit,conversion_factor,gst_rate,hsn_code,item_code,barcode,brand,base_product_name,color,size,pack_size,opening_qty,opening_rate,opening_amount,source_hash,needs_review,notes
INOX Special Shade 1Ltr. (SKY BLUE),,,PCS,,,,,,,,INOX Special Shade 1Ltr. (SKY BLUE),,,,12,125.00,-1500.00,587e0187bb65c97f,,
INOX Special Shade 1 LTR. (SOOTHING SAPPHIRE),,,PCS,,,,,,,,INOX Special Shade 1 LTR. (SOOTHING SAPPHIRE),,,,91,125.00,-11375.00,5c19eea949e7bc38,,
Inox Special Shade 1 Ltr. (SPORTY YELLOW),,,PCS,,,,,,,,Inox Special Shade 1 Ltr. (SPORTY YELLOW),,,,158,125.00,-19750.00,a856eb9570941a96,,
INOX Special Shade 1Ltr. (SUNRISE),,,PCS,,,,,,,,INOX Special Shade 1Ltr. (SUNRISE),,,,405,125.00,-50625.00,bc802fff2dcaf86b,,
INOX Special Shade 1Ltr. (TERRACOTTA),,,PCS,,,,,,,,INOX Special Shade 1Ltr. (TERRACOTTA),,,,79,479.43,-37875.00,e579ce608046f413,,
Inox Special Shade 1 Ltr. ( TWILIGHT ZONE),,,PCS,,,,,,,,Inox Special Shade 1 Ltr. ( TWILIGHT ZONE),,,,141,125.00,-17625.00,93f833b04c32cbab,,
INOX Special Shade 1Ltr. (YELLOW),,,PCS,,,,,,,,INOX Special Shade 1Ltr. (YELLOW),,,,11,125.00,-1375.00,3763fc638f6b41cb,,
INOX Special Shade 4Ltr. (JOLLY HOLLY),,,PCS,,,,,,,,INOX Special Shade 4Ltr. (JOLLY HOLLY),,,,32,465.00,-14880.00,a33c6d86f758a4ec,,
INOX Special Shade 4Ltr. (NUT BROWN),,,PCS,,,,,,,,INOX Special Shade 4Ltr. (NUT BROWN),,,,8,465.00,-3720.00,c35f23e1765e51a6,,
INOX Special Shade 4Ltr. (ORANGE),,,PCS,,,,,,,,INOX Special Shade 4Ltr. (ORANGE),,,,4,465.00,-1860.00,2d320ce030347838,,
Inox Special Shade 4 Ltr. ( PARROT GREEN),,,PCS,,,,,,,,Inox Special Shade 4 Ltr. ( PARROT GREEN),,,,8,465.00,-3720.00,da01a06243a87976,,
