stock_item_name,qty,unit,rate,amount,amount_abs
SAFARI Special Shade 1Ltr. (SUNRISE),499,PCS,168.87,-84268.50,84268.50
SAFARI Special Shade 1Ltr. (TERRACOTTA),337,PCS,159.88,-53879.80,53879.80
SAFARI Special Shade 1 Ltr. (WHITE),18,PCS,155.00,-2790.00,2790.00
SAFARI Special Shade 1Ltr. (YELLOW),206,PCS,174.08,-35861.01,35861.01
SAFARI Special Shade 4Ltr. (JOLLY HOLLY),64,PCS,608.00,-38912.00,38912.00
Safari Special Shade 4Ltr. ( LEMON SHOUFFLE),25,PCS,608.00,-15200.00,15200.00
Safari Special Shade 4Ltr. ( OXFORD BLUE),13,PCS,608.00,-7904.00,7904.00
Safari Special Shade 4Ltr. ( SIGNAL RED),2,PCS,648.00,-1296.00,1296.00
Safari Special Shade 4Ltr. (SOOTHING SAPPHIRE),63,PCS,608.00,-38304.00,38304.00
SAFARI Special Shade 4LTR. ( SUNRISE),10,PCS,648.00,-6480.00,6480.00
SAFARI Special Shade 4Ltr. (TERRACOTTA),31,PCS,648.00,-20088.00,20088.00
SAFARI Special Shade 4Ltr. (WHITE),6,PCS,608.00,-3648.00,3648.00
Safari Special Shade 4Ltr. ( YELLOW),16,PCS,648.00,-10368.00,10368.00
Safari Special Shade 500 ML. (JOLLY HOLLY),60,PCS,95.00,-5700.00,5700.00
Safari Special Shade 500 ML. (OXFORD BLUE),252,PCS,90.00,-22680.00,22680.00
Safari Special Shade 500 ML. (PURPLE),79,PCS,95.00,-7505.00,7505.00
Safari Special Shade 500 ML. (SIGNAL RED),578,PCS,95.00,-54910.00,54910.00
Safari Special Shade 500 ML. (SOOTHING BLUE),144,PCS,90.00,-12960.00,12960.00
Safari Special Shade 500 ML. (SUNRISE),528,PCS,95.00,-50160.00,50160.00
Safari Special Shade 500 ML. (TERRACOTTA),648,PCS,95.00,-61560.00,61560.00
Safari Special Shade 500 ML. (YELLOW),216,PCS,95.00,-20520.00,20520.00
Safari Special Shase 1Ltr. ( OXFORD BLUE),438,PCS,155.00,-67890.00,67890.00
INOX DISTEMPER BUCKET,458,PCS,341.08,-156214.00,156214.00
INOX Acrylic Distemper 10kg (AQUAMARINE),30,PCS,390.00,-11700.00,11700.00
INOX Acrylic Distemper 10kg (JAIPURIA PINK),26,BKT,235.00,-6110.00,6110.00
INOX Acrylic Distemper 10kg (LIGHT GREEN),22,PCS,235.00,-5170.00,5170.00
INOX Acrylic Distemper 10kg (LIRIL),1,PCS,390.00,-390.00,390.00
INOX Acrylic Distemper 10kg (PALE ROSE),4,PCS,235.00,-940.00,940.00
INOX Acrylic Distemper 10kg (PARROT GREEN),20,PCS,390.00,-7800.00,7800.00
INOX Acrylic Distemper 10kg (SUNRISE),6,PCS,415.00,-2490.00,2490.00
INOX Acrylic Distemper 20kg (AQUAMARINE),6,PCS,680.00,-4080.00,4080.00
INOX Acrylic Distemper 20kg (DAFFODIL),10,PCS,680.00,-6800.00,6800.00
INOX Acrylic Distemper 20kg (LIGHT GREEN),1,PCS,680.00,-680.00,680.00
INOX Acrylic Distemper 20kg (LIRIL),4,PCS,680.00,-2720.00,2720.00
INOX Acrylic Distemper 20kg (PALE ROSE),20,PCS,608.00,-12160.00,12160.00
INOX Acrylic Distemper 20kg (PARROT GREEN),21,PCS,608.00,-12768.00,12768.00
INOX Acrylic Distemper 20kg (SUNRISE),4,PCS,720.00,-2880.00,2880.00
INOX Acrylic Distemper 20kg (WHITE),37,PCS,608.00,-22496.00,22496.00
INOX Acrylic Distemper 5kg (AQUAMARINE),1,PCS,225.00,-225.00,225.00
INOX Acrylic Distemper 5kg (LIRIL),43,PCS,235.00,-10105.00,10105.00
INOX Acrylic Distemper 5kg (MERRY PINK),70,PCS,225.00,-15750.00,15750.00
INOX Acrylic Distemper 5kg (PALE CREAM),2,PCS,225.00,-450.00,450.00
INOX Acrylic Distemper 5kg (PALE ROSE),4,PCS,225.00,-900.00,900.00
INOX Acrylic Distemper 5kg (PARROT GREEN),63,PCS,235.00,-14805.00,14805.00
INOX Acrylic Distemper 5kg (SUNRISE),43,PCS,235.00,-10105.00,10105.00
INOX Acrylic Distemper 5kg (WHITE),1,PCS,225.00,-225.00,225.00
INOX Acrylic Distemper 5kg (YELLOW),19,PCS,235.00,-4465.00,4465.00
INOX DISTEMPER POUCH,23772.000,PKT,25.69,-610625.00,610625.00
INOX Acrylic Distemper 1kg (CANDY),280.000,PKT,27.00,-7560.00,7560.00
INOX Acrylic Distemper 1kg (DAFFODIL),3275.000,PKT,27.00,-88425.00,88425.00
INOX Acrylic Distemper 1kg (ELECTRIC BLUE),4432.000,PKT,27.00,-119664.00,119664.00
INOX Acrylic Distemper 1kg (LIGHT GREEN),900.000,PKT,27.00,-24300.00,24300.00
INOX Acrylic Distemper 1kg (LIRIL),460.000,PKT,27.00,-12420.00,12420.00
INOX Acrylic Distemper 1kg (MERRY PINK),160.000,PKT,27.00,-4320.00,4320.00
INOX Acrylic Distemper 1kg (PALE CREAM),1320.000,PKT,27.00,-35640.00,35640.00
INOX Acrylic Distemper 1kg Pouch (AQUAMARINE),3852.000,PKT,27.00,-104004.00,104004.00
INOX Acrylic Distemper 1kg Pouch (FIRE RED),543.000,PKT,27.00,-14661.00,14661.00
INOX Acrylic Distemper 1kg Pouch (JAIPURI PINK),319.000,PKT,27.00,-8613.00,8613.00
INOX Acrylic Distemper 1kg Pouch (PALE ROSE),2938.000,PKT,23.09,-67851.00,67851.00
INOX Acrylic Distemper 1kg Pouch (PARROT GREEN),3228.000,PKT,23.00,-74243.00,74243.00
INOX Acrylic Distemper 1kg Pouch (WHITE),341.000,PKT,6.97,-2376.00,2376.00
INOX Acrylic Distemper 1kg (PURPLE),480.000,PKT,27.00,-12960.00,12960.00
INOX Acrylic Distemper 1kg (SUNRISE),414.000,PKT,27.00,-11178.00,11178.00
INOX Acrylic Distemper 1kg (WILD LILAC),310.000,PKT,27.00,-8370.00,8370.00
INOX Acrylic Distemper 1kg (YELLOW),107.000,PKT,27.00,-2889.00,2889.00
INOX Acrylic Distemper Pouch 1kg  (JOLLY HOLLY),413.000,PKT,27.00,-11151.00,11151.00
INOX Ext. Emulsion,1475,PCS,218.36,-322077.93,322077.93
INOX Matte Finish Ext.Eml 500ML.,997,PCS,75.64,-75411.00,75411.00
INOX Matt Finish Ext. Eml. 10 Ltr.,72,PCS,920.82,-66299.36,66299.36
INOX Matt Finish Ext. Eml. 1Ltr.,212,PCS,230.22,-48806.78,48806.78
INOX Matt Finish Ext. Eml. 20Ltr.,15,PCS,1991.25,-29868.75,29868.75
INOX Matt Finish Ext. Eml. 4Ltr.,160,PCS,338.70,-54192.04,54192.04
Inox Water Base Enamel Ext.2/3 10Ltr.,9,PCS,1700.00,-15300.00,15300.00
