stock_item_name,qty,unit,rate,amount,amount_abs
SAFARI Double Bond Distemper 5kg (JOLLY HOLLY),18,PCS,275.00,-4950.00,4950.00
SAFARI Double Bond Distemper 5kg (LIGHT GREEN),67,PCS,250.00,-16750.00,16750.00
SAFARI Double Bond Distemper 5kg (LIRIL),12,PCS,216.13,-2593.55,2593.55
SAFARI Double Bond Distemper 5kg (MEGENTA),28,PCS,285.71,-8000.00,8000.00
SAFARI Double Bond Distemper 5kg (MERRY PINK),31,PCS,250.00,-7750.00,7750.00
SAFARI Double Bond Distemper 5kg (PALE CREAM),40,PCS,250.00,-10000.00,10000.00
SAFARI Double Bond Distemper 5kg (PALE ROSE),73,PCS,327.26,-23889.76,23889.76
SAFARI Double Bond Distemper 5kg (PARROT GREEN),42,PCS,235.74,-9901.11,9901.11
SAFARI Double Bond Distemper 5kg (PISTA),89,PCS,250.00,-22250.00,22250.00
SAFARI Double Bond Distemper 5kg (SKY BLUE),27,PCS,250.00,-6750.00,6750.00
SAFARI Double Bond Distemper 5kg (SUNRISE),100,PCS,250.00,-25000.00,25000.00
SAFARI Double Bond Distemper 5kg (WHITE),84,PCS,207.92,-17464.92,17464.92
SAFARI Double Bond Distemper 5kg (WILD LILAC),1,PCS,100.00,-100.00,100.00
SAFARI Double Bond Distemper 5kg (YELLOW),100,PCS,275.00,-27500.00,27500.00
SAFARI DISTEMPER POUCH,2349,BOX,432.28,-1015419.71,1015419.71
SAFARI Double Bond Distemper 1kg Pouch (AQUAMARINE),4220.000,PKT,27.15,-114577.43,114577.43
SAFARI Double Bond Distemper 1kg Pouch(BRIGHT BLUE),205.000,PKT,83.45,-17106.96,17106.96
SAFARI Double Bond Distemper 1kg Pouch (CANDY),1299.000,PKT,33.46,-43471.00,43471.00
SAFARI Double Bond Distemper 1kg Pouch (DAFFODIL),2599.000,PKT,28.66,-74487.78,74487.78
SAFARI Double Bond Distemper 1kg Pouch (D-BLUE),580.000,PKT,29.00,-16820.00,16820.00
SAFARI Double Bond Distemper 1kg Pouch (ELECTRIC BLUE),2882.000,PKT,42.91,-123658.10,123658.10
SAFARI Double Bond Distemper 1kg Pouch (FIRE RED),936.000,PKT,29.22,-27347.38,27347.38
SAFARI Double Bond Distemper 1kg Pouch (IVARY),1675.000,PKT,28.58,-47874.98,47874.98
SAFARI Double Bond Distemper 1kg Pouch (JAIPURI PINK),8.000,PKT,35.63,-285.04,285.04
SAFARI Double Bond Distemper 1kg Pouch (JOLLY HOLLY,403.000,PKT,31.88,-12847.00,12847.00
SAFARI Double Bond Distemper 1kg Pouch (LIGHT GREEN),808.000,PKT,29.00,-23432.00,23432.00
SAFARI Double Bond Distemper 1kg Pouch (LIRIL),1353.000,PKT,41.41,-56027.95,56027.95
SAFARI Double Bond Distemper 1kg Pouch (MEGENTA),17.000,PKT,29.00,-493.00,493.00
SAFARI Double Bond Distemper 1kg Pouch (MERRY PINK),919.000,PKT,29.94,-27516.57,27516.57
SAFARI Double Bond Distemper 1kg Pouch (PALE CREAM),403.000,PKT,28.38,-11437.55,11437.55
SAFARI Double Bond Distemper 1kg Pouch (PALE ROSE),1588.000,PKT,246.83,391959.04,391959.04
SAFARI Double Bond Distemper 1kg Pouch (PARROT GREEN),9260.000,PKT,29.82,-276099.57,276099.57
SAFARI Double Bond Distemper 1kg Pouch (PISTA),293.000,PKT,26.00,-7618.58,7618.58
SAFARI Double Bond Distemper 1kg Pouch (PURPLE),995.000,PKT,29.00,-28855.00,28855.00
SAFARI Double Bond Distemper 1kg Pouch (SIGNAL RED),20.000,PKT,29.00,-580.00,580.00
SAFARI Double Bond Distemper 1kg Pouch (SKY BLUE),,,,-15360.00,15360.00
SAFARI Double Bond Distemper 1kg Pouch (SUNRISE),244.000,PKT,25.38,-6193.78,6193.78
SAFARI Double Bond Distemper 1kg Pouch (TANGO),913.000,PKT,11.68,-10666.06,10666.06
SAFARI Double Bond Distemper 1kg Pouch (TERRACOTTA),7.000,PKT,29.00,-203.00,203.00
SAFARI Double Bond Distemper 1kg Pouch (WHITE),7153.000,PKT,36.60,-261777.51,261777.51
SAFARI Double Bond Distemper 1kg Pouch (WILD LILAC),5372.000,PKT,31.11,-167132.50,167132.50
SAFARI Double Bond Distemper 1kg Pouch (YELLOW),737.000,PKT,27.01,-19910.01,19910.01
SAFARI Double Bond Distemper 1kg (SUNRISE),600,PCS,26.00,-15600.00,15600.00
SAFARI EXT. Emulsion,158,PCS,796.06,-125778.08,125778.08
Safari Smooth Finish Ext Eml 20Ltr(High Gloss),3,PCS,6700.00,-20100.00,20100.00
SAFARI Smooth Finish Luxury Ext. Eml. 10Ltr. (Matt),7,PCS,,,
SAFARI Smooth Finish Luxury Ext. Eml. 1Ltr. (Matt),41,PCS,165.32,-6778.08,6778.08
SAFARI Smooth Finish Luxury Ext. Eml. 1Ltr.(Sheen),46,PCS,,,
SAFARI Smooth Finish Luxury Ext. Eml. 20Ltr. (Matt),7,PCS,,,
SAFARI Smooth Finish Luxury Ext. Eml. 20Ltr.(Sheen),1,PCS,,,
SAFARI Smooth Finish Luxury Ext.Eml 20Ltr.(YELLOW),4,PCS,6700.00,-26800.00,26800.00
SAFARI Smooth Finish Luxury Ext. Eml. 4Ltr. (Matt),7,PCS,,,
Safari Smooth Finishy Ext Eml 10Ltr(High Gloss),1,PCS,3400.00,-3400.00,3400.00
Safari Smoth Finish Luxury Ext Eml 10Ltr.(Yellow),1,PCS,3400.00,-3400.00,3400.00
Safari SmothFinish Luxury Ext.Eml 20Ltr(SIGNAL RED),5,PCS,3400.00,-17000.00,17000.00
Safari Smoth Finish Luxury Ext.Eml 4Ltr. High Gloss,35,PCS,1380.00,-48300.00,48300.00
SAFARI Int. Emulsion,59,PCS,389.66,-22990.00,22990.00
Safari Smooth Finish Luxury Int. 20Ltr.(Teracotta),7,PCS,1525.00,-10675.00,10675.00
SAFARI Smooth Finish Luxury Int. Eml. 1Ltr.(Sheen),37,PCS,,,
SAFARI Smooth Finish Luxury Int. Eml. 20Ltr.(Sheen),1,PCS,3900.00,-3900.00,3900.00
SAFARI Smooth Finish Luxury Int. Eml. 4Ltr. (Matt),3,PCS,810.00,-2430.00,2430.00
SAFARI Smooth Finish Luxury Int. Eml. 4Ltr.(Sheen),4,PCS,,,
Safari Smoth Finish Luxury Int.10Ltr.(Teracotta),7,PCS,855.00,-5985.00,5985.00
SAPPHIRE Ext. Emulsion,178,PCS,290.96,-51790.00,51790.00
Sapphire Luxury Eml.2in1 Ext. 1 Ltr.(Sheen),39,PCS,350.00,-13650.00,13650.00
SAPPHIRE Super Shine  Ext. Eml. 1Ltr. (High Gloss),144,PCS,264.86,-38140.00,38140.00
SAPPHIRE Super Shine  Ext. Eml. 20Ltr. (High Gloss),-1,PCS,,,
SAPPHIRE Super Shine  Ext. Eml. 4Ltr. (High Gloss),-4,PCS,,,
SAPPHIRE Int. Emulsion,1,PCS,7680.00,-7680.00,7680.00
SAPPHIRE Super Shine  Int. Eml. 1Ltr. (High Gloss),,,,-6300.00,6300.00
SAPPHIRE Super Shine  Int. Eml. 4Ltr. (High Gloss),1,PCS,1380.00,-1380.00,1380.00
Stationary Item,,,,-10148.98,10148.98
Book,400.000,QTY,22.50,-9000.00,9000.00
BOX File Paper,4.000,QTY,60.00,-240.00,240.00
CM REGISTER,3,PCS,160.00,-480.00,480.00
Cobrafile 700,6.000,QTY,15.00,-90.00,90.00
COMPUTER STICKER AST1,1.000,QTY,338.98,-338.98,338.98
WATER BASE ENAMEL,363,PCS,409.71,-148724.38,148724.38
SAPPHIRE Floor Coat 1Ltr. (SIGNAL RED),4,PCS,190.00,-760.00,760.00
SAPPHIRE Floor Coat 4Ltr. (SIGNAL RED),2,PCS,487.50,-975.00,975.00
SAPPHIRE Water Base Enamal 2in3 10Ltr.,6,PCS,1700.00,-10200.00,10200.00
Sapphire Water Base Enamel 10 Ltr.(White),11,PCS,1700.00,-18700.00,18700.00
Sapphire Water Base Enamel 20 Ltr.(White),15,PCS,3220.00,-48300.00,48300.00
Sapphire Water Base Enamel 9/10/11 10Ltr.,8,PCS,1700.00,-13600.00,13600.00
SAPPHIRE W/B Enamel 1Ltr. (BLACK),86,PCS,169.27,-14557.46,14557.46
SAPPHIRE W/B Enamel 1Ltr. (BLUE),14,PCS,140.00,-1960.00,1960.00
SAPPHIRE W/B Enamel 1Ltr. (LIGHT GREEN),79,PCS,190.00,-15010.00,15010.00
SAPPHIRE W/B Enamel 1Ltr. (PO. RED),20,PCS,167.20,-3344.00,3344.00
SAPPHIRE W/B Enamel 1 Ltr.(SIGNAL RED),6,PCS,190.00,-1140.00,1140.00
SAPPHIRE W/B Enamel 1Ltr. (WHITE),50,PCS,190.00,-9500.00,9500.00
SAPPHIRE W/B Enamel 1Ltr. (YELLOW),62,PCS,172.22,-10677.92,10677.92
WOOD PRIMER,,,,-83708.99,83708.99
Safari Wood Primer 1 Ltr.,268,PCS,110.03,-29488.99,29488.99
Safari Wood Primer 20 Ltr.,5,DRM,,,
Safari Wood Primer 4 Ltr.,14,PCS,400.00,-5600.00,5600.00
Safari Wood Primer 500 ML.,748,PCS,65.00,-48620.00,48620.00
